quote,author,tags
Do one thing every day that scares you.,ELEANOR ROOSEVELT,attributed;fear;inspiration
"I would venture to guess that Anon, who wrote so many poems without signing them, was often a woman.","VIRGINIA WOOLF,",women
Some infinities are bigger than other infinities.,"JOHN GREEN,",infinity;john-green;life;tfios;the-fault-in-our-stars
You dont,"WALTER M. MILLER JR.,",body-soul;misattributed-to-c-s-lewis
"One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.","CASSANDRA CLARE,",books
Reality continues to ruin my life.,"BILL WATTERSON,",calvin-and-hobbes;humor;life
Time you enjoy wasting is not wasted time.,"MARTHE TROLY-CURTIN,",happiness;misattributed-john-lennon;procrastination;time
"I wish it need not have happened in my time,"" said Frodo.","J.R.R. TOLKIEN,",adventuring;death;time
Things change. And friends leave. Life doesn't stop for anybody.,"STEPHEN CHBOSKY,",change;life
"If there's a book that you want to read, but it hasn't been written yet, then you must write it.",TONI MORRISON,books;writing
"There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.","CASSANDRA CLARE,",mortal-instruments;romance;teen-fantasy
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
